accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,environment,altitude_m,isa_delta_C,method,Kp,Ki,reference_hp,load_hp,wall_seconds,compressor_Nc_outside_percent,inlet_temperature_K,inlet_pressure_kPa,gp_replay_error,gp_outside_percent
1,3.08010530625156,26.3619527785122,65.8635110342151,15.2382740244319,2.56044779311017,0,2.37096658551096,0.710976432918099,5.83566026005874,2.625,0,6,NaN,1,0,0,BasePI,0.025,0.05,19160.7938865265,1916.07938865266,3.3342905,0,288.150008033319,99.2988461167942,0,0
1,1.94168590997665,16.5183846979744,54.4735747608173,14.648411045334,2.612678000342,0,4.80270721488147,0.781290071872064,12.6130084109648,3.735,0,6,NaN,1,0,0,InvGPR_PI_GPRFF,2,30,19160.7938865265,1916.07938865266,20.0707102,0,288.150008033319,99.2988461167942,3.48343576206389e-12,0.599900016663889
1,2.88311591514803,24.5784538477237,61.2809182182532,10.4514539211097,2.42103120197329,0,2.24620501552893,0.664527131309658,5.34196388653519,2.535,0,6,NaN,2,2500,0,BasePI,0.025,0.05,17286.7555661326,1728.67555661326,2.9470849,0,271.90273846482,73.4442916025421,0,0
1,1.95247064392468,15.1867487283016,61.1711471050423,10.0275986787219,2.45638704348313,0,4.3593117742457,0.728369970694682,11.843321141147,4.53,0,6,NaN,2,2500,0,InvGPR_PI_GPRFF,2,30,17286.7555661326,1728.67555661326,219.0075964,0,271.90273846482,73.4442916025421,3.07598391202646e-12,0.599900016663889
1,2.4853048867685,21.3566132514043,51.4922630832394,5.97568711731296,2.10084603434189,0,2.18875575655244,0.583170316144641,4.57755634323297,2.37,0,6,NaN,3,5000,0,BasePI,0.025,0.05,14468.0677472754,1446.80677472754,4.0864869,0,255.676800657237,53.1431818867567,0,0
1,2.5726362425551,13.2670968819893,129.513904249567,6.05055582639738,2.09698102836812,0,3.59103464803766,0.61801111927148,10.334908695584,Inf,0,6,NaN,3,5000,0,InvGPR_PI_GPRFF,2,30,14468.0677472754,1446.80677472754,235.8327169,0,255.676800657237,53.1431818867567,4.7777337641719e-12,0.449925012497917
1,1.87368550959035,16.1994541873719,38.6193488147785,2.51949033856226,1.60731725960965,0,1.70451665946523,0.441007799219866,3.47820874295297,2.235,0,6,NaN,4,7500,0,BasePI,0.025,0.05,10967.3389529042,1096.73389529042,3.5212637,0,239.455988115567,37.5898074200669,0,0
1,2.11283175038562,10.0247950937355,115.647823153531,2.5991132457511,1.60374251847043,0,2.64936058124148,0.45808321720397,7.4997253561063,Inf,0,6,NaN,4,7500,0,InvGPR_PI_GPRFF,2,30,10967.3389529042,1096.73389529042,22.9974105,0,239.455988115567,37.5898074200669,4.14690504157988e-12,0.399933344442593
1,1.24671492248772,11.1013775950396,25.1405239232115,2.17391608118599,1.07760767419824,0,1.28116276011255,0.297393207008836,2.40682363516365,2.01000000000001,0,6,NaN,5,10000,0,BasePI,0.025,0.05,7524.96573067779,752.496573067779,3.1811616,100,223.251744631656,26.113108584684,0,0
1,6.25579642827395,12.0814549526294,450.155167098864,2.53975187974593,1.06556914722033,0,1.62991421976402,0.29409745401424,4.67794905430835,Inf,0,6,NaN,5,10000,0,InvGPR_PI_GPRFF,2,30,7524.96573067779,752.496573067779,30.1486036,100,223.251744631656,26.113108584684,3.61755070343861e-12,0
1,3.52902427281155,29.9748230591213,76.20582694909,12.4921994078824,2.9716145585136,0,2.55390917891044,0.806780795705108,6.59737296900487,2.7,0,6,NaN,6,0,-10,BasePI,0.025,0.05,21712.2120200638,2171.22120200638,3.4539031,0,278.150030372126,99.2988461167942,0,0
1,2.09069410623723,18.6751610986175,55.3616432182371,11.6642298959152,3.05227157877812,0,5.59825815090375,0.90098956768692,14.4211357347798,3.45,0,6,NaN,6,0,-10,InvGPR_PI_GPRFF,2,30,21712.2120200638,2171.22120200638,29.2060957,0,278.150030372126,99.2988461167942,2.66098254542158e-12,0.599900016663889
1,3.22304014935786,27.2734590102446,68.7774636547848,7.6169668608561,2.74627100120303,0,2.46126715450189,0.743314406463852,5.93370068968092,2.595,0,6,NaN,7,2500,-10,BasePI,0.025,0.05,19251.6031913412,1925.16031913412,3.1260264,0,261.897755638482,73.4390073299865,0,0
1,2.14914608600029,17.1023010885274,66.9812786260607,7.24479303333573,2.78414040765216,0,5.09850813826018,0.831756766319051,14.1638799400407,4.63500000000001,0,6,NaN,7,2500,-10,InvGPR_PI_GPRFF,2,30,19251.6031913412,1925.16031913412,829.9395809,0,261.897755638482,73.4390073299865,4.96891416901235e-12,0.599900016663889
1,2.57598408854443,22.1924184286436,53.3758151934776,3.92995191313311,2.20164843422476,0,2.28281005874944,0.604264197657515,4.7702939668253,2.38500000000001,0,6,NaN,8,5000,-10,BasePI,0.025,0.05,15098.5616373111,1509.85616373111,3.6864703,0,245.676799448755,53.1431818867567,0,0
1,2.62121326239017,13.8133275644068,128.959150556524,3.98004041873391,2.19889705996884,0,3.72689486758352,0.63943151363498,10.6532196618774,Inf,0,6,NaN,8,5000,-10,InvGPR_PI_GPRFF,2,30,15098.5616373111,1509.85616373111,21.7072587,0,245.676799448755,53.1431818867567,4.4415582323154e-12,0.549908348608565
