scenario,rpm,fraction,shape,method,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,compensation_clip_percent,ff_speed_guard_percent,minimum_margin_percent,first_failure_s,load_MW,shaft_balance_error,gp_replay_error,wall_seconds
9000rpm_05pct_ramps,9000,0.05,ramps,PI,True,0.5941534744828875,5.324654973075667,18.308709766458897,1.1563647095419451,0,0,0,29.40445778974493,,0.439561932005132,1.2859569637445334e-12,0,20.966819
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,True,0.516725682841554,5.1615595218918315,14.10912472642868,1.158545556471904,0,0,0,29.34722902844976,,0.439561932005132,1.2859569637445334e-12,0,17.3327546
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,True,0.5174290864044175,5.160579732153565,14.285219278499634,1.158936630169907,0,0,0,29.336373158627975,,0.439561932005132,1.2859569637445334e-12,0,17.2171501
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,True,0.48274541563344614,4.676500830631994,13.7350207884077,1.1576030381129234,0,0,0,29.3802728582684,,0.439561932005132,1.2859569637445334e-12,0,19.6945554
9000rpm_05pct_ramps,9000,0.05,ramps,GPIO,True,0.4734067401398635,4.920069481015162,13.730140855713934,1.1617598881682427,0,0,0,29.259181739229252,,0.439561932005132,1.2859569637445334e-12,0,16.8615814
9000rpm_05pct_ramps,9000,0.05,ramps,GPR_FF,True,0.6014394754532936,5.514709571491039,18.308709773023928,1.1563647095419634,0,0,36.6272287952008,29.404457789744498,,0.439561932005132,1.2859569637445334e-12,2.0323742688788116e-12,20.0792634
9000rpm_10pct_ramps,9000,0.1,ramps,PI,True,1.1931430660358642,10.677238702954128,36.77357843804741,1.3331257757644543,0,0,0,24.428916961684266,,0.879123864010264,1.2859569637445334e-12,0,14.339493
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,True,1.0377783025396017,10.351108737771938,28.340914957379827,1.337598529173011,0,0,0,24.322081852048242,,0.879123864010264,1.2859569637445334e-12,0,17.6034062
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,True,1.0391942859719572,10.349353172883639,28.69436845522783,1.3383964057410225,0,0,0,24.301580070443666,,0.879123864010264,1.2859569637445334e-12,0,17.3861674
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,True,0.9694722964179249,9.376818246126277,27.587245150097424,1.3355900037343997,0,0,0,24.38892929419465,,0.879123864010264,1.2859569637445334e-12,0,16.416736
