scenario,rpm,fraction,shape,method,edge,start_s,ramp_s,valid,peak_rpm,recovery_from_start_s,recovery_after_ramp_s
9000rpm_05pct_ramps,9000,0.05,ramps,PI,apply,10.005,0.3,True,5.324654973079305,1.0350000000000055,0.7350000000000054
9000rpm_05pct_ramps,9000,0.05,ramps,PI,remove,15.0,0.3,True,5.214558280080382,1.0499999999999972,0.7499999999999971
9000rpm_05pct_ramps,9000,0.05,ramps,PI,apply,30.0,1.5,True,1.964547513760408,1.7849999999999966,0.2849999999999966
9000rpm_05pct_ramps,9000,0.05,ramps,PI,remove,40.005,1.5,True,1.9315296814893372,1.7850000000000037,0.2850000000000037
9000rpm_05pct_ramps,9000,0.05,ramps,PI,apply,60.0,3.0,True,1.0195769640704384,3.0450000000000017,0.045000000000001705
9000rpm_05pct_ramps,9000,0.05,ramps,PI,remove,75.0,3.0,True,1.020323908469436,2.9850000000000136,0
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,apply,10.005,0.3,True,5.1615595218900125,0.8249999999999975,0.5249999999999975
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,remove,15.0,0.3,True,5.055424607009627,0.8250000000000028,0.5250000000000028
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,apply,30.0,1.5,True,1.5652430297795945,1.6650000000000063,0.16500000000000625
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,remove,40.005,1.5,True,1.5668675561300915,1.6499999999999986,0.14999999999999858
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,apply,60.0,3.0,True,0.7838397782106767,0.0,0
9000rpm_05pct_ramps,9000,0.05,ramps,DOB,remove,75.0,3.0,True,0.7818216192208638,0.0,0
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,apply,10.005,0.3,True,5.160579732149927,0.8399999999999981,0.539999999999998
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,remove,15.0,0.3,True,5.053798364679096,0.8400000000000034,0.5400000000000034
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,apply,30.0,1.5,True,1.5773462877405109,1.6650000000000063,0.16500000000000625
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,remove,40.005,1.5,True,1.5779079714902764,1.6649999999999991,0.16499999999999915
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,apply,60.0,3.0,True,0.7899056045207544,0.0,0
9000rpm_05pct_ramps,9000,0.05,ramps,LESO,remove,75.0,3.0,True,0.7880086408804345,0.0,0
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,apply,10.005,0.3,True,4.676500830630175,0.8249999999999975,0.5249999999999975
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,remove,15.0,0.3,True,4.591394581659188,0.8250000000000028,0.5250000000000028
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,apply,30.0,1.5,True,1.515972985069311,1.6500000000000057,0.15000000000000568
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,remove,40.005,1.5,True,1.5017698215306154,1.6499999999999986,0.14999999999999858
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,apply,60.0,3.0,True,0.7661718590097735,0.0,0
9000rpm_05pct_ramps,9000,0.05,ramps,UDE,remove,75.0,3.0,True,0.7688932281598682,0.0,0
