scenario,rpm,fraction,shape,method,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,compensation_clip_percent,ff_speed_guard_percent,minimum_margin_percent,first_failure_s,load_MW,shaft_balance_error,gp_replay_error,wall_seconds
9000rpm_10pct_ramps,9000,0.1,ramps,PI,True,1.1931430660358642,10.677238702954128,36.77357843804741,1.3331257757644543,0,0,0,24.428916961684266,,0.879123864010264,1.2859569637445334e-12,0,14.339493
9000rpm_10pct_ramps,9000,0.1,ramps,DOB,True,1.0377783025396017,10.351108737771938,28.340914957379827,1.337598529173011,0,0,0,24.322081852048242,,0.879123864010264,1.2859569637445334e-12,0,17.6034062
9000rpm_10pct_ramps,9000,0.1,ramps,LESO,True,1.0391942859719572,10.349353172883639,28.69436845522783,1.3383964057410225,0,0,0,24.301580070443666,,0.879123864010264,1.2859569637445334e-12,0,17.3861674
9000rpm_10pct_ramps,9000,0.1,ramps,UDE,True,0.9694722964179249,9.376818246126277,27.587245150097424,1.3355900037343997,0,0,0,24.38892929419465,,0.879123864010264,1.2859569637445334e-12,0,16.416736
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,True,0.9509283955774757,9.866430912716169,27.577399685891105,1.3442527510488378,0,0,0,24.160652072505222,,0.879123864010264,1.2859569637445334e-12,0,15.3272389
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,True,1.2077703657928072,11.057787900052062,36.773578443850916,1.3331257757644637,0,0,34.044325945675716,24.42891696168402,,0.879123864010264,1.2859569637445334e-12,2.6134649999676185e-12,16.4061849
9500rpm_10pct_ramps,9500,0.1,ramps,PI,True,2.125136008400143,18.64162142269015,65.86330997560775,2.4690956147317573,0,0,0,16.66870162740956,,1.4288201540597196,1.2859569637445334e-12,0,17.0105308
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,True,1.8501436527803048,18.147371632843715,50.7992202169383,2.4791932556314746,0,0,0,16.543256135279023,,1.4288201540597196,1.2859569637445334e-12,0,14.7309069
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,True,1.852614865834951,18.15533393834994,51.42860460735259,2.480688073155642,0,0,0,16.522329434037157,,1.4288201540597196,1.2859569637445334e-12,0,19.2383472
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,True,1.730069580819683,16.57371941598103,49.41058905065995,2.4795010518042195,0,0,0,16.57646357868051,,1.4288201540597196,1.2859569637445334e-12,0,17.4365383
9500rpm_10pct_ramps,9500,0.1,ramps,GPIO,True,1.6979055965234913,17.393462277301296,49.39233688822838,2.494474737119767,0,2.132977837027162,0,16.355908398819167,,1.4288201540597196,1.2859569637445334e-12,0,18.3289657
9500rpm_10pct_ramps,9500,0.1,ramps,GPR_FF,True,2.1918264592035035,19.937676998268216,65.86379504724482,2.4750912855400946,0,0,0,16.57213953793778,,1.4288201540597196,1.2859569637445334e-12,5.4856119646728985e-12,20.8332495
