time_s,Alt,C_Data_SMavail,C_Data_s_C_Nc,C_Data_s_C_Wc,C_Data_s_C_PR,C_Data_s_C_Eff,C_Data_Wcin,C_Data_Nc,C_Data_PR,C_Data_NcMap,C_Data_WcMap,C_Data_PRMap,C_Data_EffMap,C_Data_SurgePR,C_Data_Wbleeds,C_Data_Pwrb4bleed,C_Data_PwrBld,C_Data_Pwrout,C_Data_SMMap,C_Data_SPRMap,C_Data_Test,C_Data_Nmech,C_Data_BlkNm_1,C_Data_BlkNm_2,C_Data_BlkNm_3,C_Data_BlkNm_4,C_Data_BlkNm_5,C_Data_BlkNm_6,C_Data_BlkNm_7,C_Data_BlkNm_8,C_Data_BlkNm_9,C_Data_BlkNm_10,C_Data_BlkNm_11,C_Data_BlkNm_12,C_Data_BlkNm_13,C_Data_BlkNm_14,C_Data_BlkNm_15,C_Data_BlkNm_16,C_Data_BlkNm_17,C_Data_BlkNm_18,C_Data_BlkNm_19,C_Data_BlkNm_20,C_Data_BlkNm_21,C_Data_BlkNm_22,C_Data_BlkNm_23,C_Data_BlkNm_24,C_Data_BlkNm_25,C_Data_BlkNm_26,C_Data_BlkNm_27,C_Data_BlkNm_28,C_Data_BlkNm_29,C_Data_BlkNm_30,C_Data_BlkNm_31,C_Data_BlkNm_32,C_Data_BlkNm_33,C_Data_BlkNm_34,C_Data_BlkNm_35,C_Data_BlkNm_36,C_Data_BlkNm_37,C_Data_BlkNm_38,C_Data_BlkNm_39,C_Data_BlkNm_40,C_Data_BlkNm_41,C_Data_BlkNm_42,C_Data_BlkNm_43,C_Data_BlkNm_44,C_Data_BlkNm_45,C_Data_BlkNm_46,C_Data_BlkNm_47,C_Data_BlkNm_48,C_Data_BlkNm_49,C_Data_BlkNm_50,C_Data_BlkNm_51,C_Data_BlkNm_52,C_Data_BlkNm_53,C_Data_BlkNm_54,C_Data_BlkNm_55,C_Data_BlkNm_56,C_Data_BlkNm_57,C_Data_BlkNm_58,C_Data_BlkNm_59,C_Data_BlkNm_60,C_Data_BlkNm_61,C_Data_BlkNm_62,C_Data_BlkNm_63,C_Data_BlkNm_64,C_Data_BlkNm_65,C_Data_BlkNm_66,C_Data_BlkNm_67,C_Data_BlkNm_68,C_Data_BlkNm_69,C_Data_BlkNm_70,C_Data_BlkNm_71,C_Data_BlkNm_72,C_Data_BlkNm_73,C_Data_BlkNm_74,C_Data_BlkNm_75,C_Data_BlkNm_76,C_Data_BlkNm_77,C_Data_BlkNm_78,C_Data_BlkNm_79,C_Data_BlkNm_80,C_Data_BlkNm_81,C_Data_BlkNm_82,C_Data_BlkNm_83,C_Data_BlkNm_84,C_Data_BlkNm_85,C_Data_BlkNm_86,C_Data_BlkNm_87,C_Data_BlkNm_88,C_Data_BlkNm_89,C_Data_BlkNm_90,C_Data_BlkNm_91,C_Data_BlkNm_92,C_Data_BlkNm_93,C_Data_BlkNm_94,C_Data_BlkNm_95,C_Data_WHPMod,C_Data_PRHPMod,C_Data_EffHPMod,FlowErrors_1,FlowErrors_2,FlowErrors_3,Fnet,Iterations,N_request,N_sensed,Nmech,SFC,T_Data_s_T_Nc,T_Data_s_T_Wc,T_Data_s_T_PR,T_Data_s_T_Eff,T_Data_Wcin,T_Data_Wcs1in,T_Data_Nc,T_Data_NcMap,T_Data_WcMap,T_Data_PRMap,T_Data_EffMap,T_Data_Pwrout,T_Data_Test,T_Data_Nmech,T_Data_BlkNm_1,T_Data_BlkNm_2,T_Data_BlkNm_3,T_Data_BlkNm_4,T_Data_BlkNm_5,T_Data_BlkNm_6,T_Data_BlkNm_7,T_Data_BlkNm_8,T_Data_BlkNm_9,T_Data_BlkNm_10,T_Data_BlkNm_11,T_Data_BlkNm_12,T_Data_BlkNm_13,T_Data_BlkNm_14,T_Data_BlkNm_15,T_Data_BlkNm_16,T_Data_BlkNm_17,T_Data_BlkNm_18,T_Data_BlkNm_19,T_Data_BlkNm_20,T_Data_BlkNm_21,T_Data_BlkNm_22,T_Data_BlkNm_23,T_Data_BlkNm_24,T_Data_BlkNm_25,T_Data_BlkNm_26,T_Data_BlkNm_27,T_Data_BlkNm_28,T_Data_BlkNm_29,T_Data_BlkNm_30,T_Data_BlkNm_31,T_Data_BlkNm_32,T_Data_BlkNm_33,T_Data_BlkNm_34,T_Data_BlkNm_35,T_Data_BlkNm_36,T_Data_BlkNm_37,T_Data_BlkNm_38,T_Data_BlkNm_39,T_Data_BlkNm_40,T_Data_BlkNm_41,T_Data_BlkNm_42,T_Data_BlkNm_43,T_Data_BlkNm_44,T_Data_BlkNm_45,T_Data_BlkNm_46,T_Data_BlkNm_47,T_Data_BlkNm_48,T_Data_BlkNm_49,T_Data_BlkNm_50,T_Data_BlkNm_51,T_Data_BlkNm_52,T_Data_BlkNm_53,T_Data_BlkNm_54,T_Data_BlkNm_55,T_Data_BlkNm_56,T_Data_BlkNm_57,T_Data_BlkNm_58,T_Data_BlkNm_59,T_Data_BlkNm_60,T_Data_BlkNm_61,T_Data_BlkNm_62,T_Data_BlkNm_63,T_Data_BlkNm_64,T_Data_BlkNm_65,T_Data_BlkNm_66,T_Data_BlkNm_67,T_Data_BlkNm_68,T_Data_BlkNm_69,T_Data_BlkNm_70,T_Data_BlkNm_71,T_Data_BlkNm_72,T_Data_BlkNm_73,T_Data_BlkNm_74,T_Data_BlkNm_75,T_Data_BlkNm_76,T_Data_BlkNm_77,T_Data_BlkNm_78,T_Data_BlkNm_79,T_Data_BlkNm_80,T_Data_BlkNm_81,T_Data_BlkNm_82,T_Data_BlkNm_83,T_Data_BlkNm_84,T_Data_BlkNm_85,T_Data_BlkNm_86,T_Data_BlkNm_87,T_Data_BlkNm_88,T_Data_BlkNm_89,T_Data_BlkNm_90,T_Data_BlkNm_91,T_Data_BlkNm_92,T_Data_WHPMod,T_Data_EffHPMod,Wf,s0_W,s0_ht,s0_Tt,s0_Pt,s0_FAR,s2_W,s2_ht,s2_Tt,s2_Pt,s2_FAR,s3_W,s3_ht,s3_Tt,s3_Pt,s3_FAR,s4_W,s4_ht,s4_Tt,s4_Pt,s4_FAR,s5_W,s5_ht,s5_Tt,s5_Pt,s5_FAR,s7_W,s7_ht,s7_Tt,s7_Pt,s7_FAR
0,0,17.832553753545,10000,0.495342,0.86364,0.997653,102.040440880559,9999.99986060488,20.0000147618922,0.999999986060488,205.99997755229,22.9999244614564,0.852000051826303,23.5665281450235,0,-27896.5140739687,0,-27896.5140739687,17.9549706531027,27.1295541487466,27.1295541487466,10000,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-2.39771419059588e-10,1.29148337932202e-11,-1.44767930724091e-12,10665.7217798684,14,10000,10000,10000,1.01258969837232,45.61102,0.444192,0.51163,0.998914,13.4754527279385,13.4754527279385,4104.99150949877,89.9999936308981,30.3370000535005,5.00000255667425,0.920999978128682,27896.538949239,5.00000255667425,10000,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,3,99.9999640929429,123.954269007684,518.670014460014,14.696,0,99.9999640929429,123.954269007684,518.670014460014,14.40208,0,99.9999640929429,321.123332442469,1316.13395857497,288.041812601952,0,102.999964092943,847.692739338014,3077.98573421951,273.639721971854,0.030000010772121,102.999964092943,656.266295466162,2453.18322040223,89.8203866970803,0.030000010772121,102.999964092943,656.266295466162,2453.18322040223,88.9221828301095,0.030000010772121
0.015,0,17.8325542651488,10000,0.495342,0.86364,0.997653,102.040443252593,9999.99992298457,20.000015126626,0.999999992298457,205.999982342036,22.999924883778,0.852000049646048,23.5665286771196,0,-27896.5150437001,0,-27896.5150437001,17.9549711659706,27.1295547648552,27.1295547648552,10000.0000623797,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-6.51289202724692e-11,-3.88655136959654e-11,-6.61977286305575e-12,10665.7219875094,3,10000,10000,10000.0000623797,1.01258967865915,45.61102,0.444192,0.51163,0.998914,13.4754527235826,13.4754527235826,4104.99155421645,89.9999946113122,30.337000045265,5.00000256573683,0.920999980368064,27896.5394128019,5.00000256573683,10000.0000623797,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,3,99.9999664175443,123.954269007684,518.670014460014,14.696,0,99.9999664175443,123.954269007684,518.670014460014,14.40208,0,99.9999664175443,321.123334713012,1316.13396736037,288.041817854878,0,102.999966417544,847.692729658305,3077.98570556025,273.639726962134,0.0300000100747401,102.999966417544,656.266286925772,2453.18319384246,89.8203881984027,0.0300000100747401,102.999966417544,656.266286925772,2453.18319384246,88.9221843164187,0.0300000100747401
0.03,0,17.8325594075877,10000,0.495342,0.86364,0.997653,102.040445774413,9999.99998409495,20.0000147340128,0.999999998409495,205.999987435734,22.9999244291751,0.852000045905295,23.566529242982,0,-27896.5155866531,0,-27896.5155866531,17.954976346131,27.1295554200616,27.1295554200616,10000.0001234901,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-1.86420670625053e-10,-1.1440131476553e-10,-1.93901279730954e-11,10665.7216590098,3,10000,10000.0000161665,10000.0001234901,1.01258957128015,45.61102,0.444192,0.51163,0.998914,13.4754527067828,13.4754527067828,4104.9917471377,89.9999988410192,30.3370000097354,5.00000261082389,0.920999990012446,27896.5380885995,5.00000261082389,10000.0001234901,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999958946949,99.9999688889358,123.954269007684,518.670014460014,14.696,0,99.9999688889358,123.954269007684,518.670014460014,14.40208,0,99.9999688889358,321.123333677715,1316.1339633545,288.041812200431,0,102.999968478405,847.692646059769,3077.98545386901,273.63972159041,0.0300000052280157,102.999968478405,656.266216244062,2453.18297165805,89.8203857550614,0.0300000052280157,102.999968478405,656.266216244062,2453.18297165805,88.9221818975108,0.0300000052280157
0.045,0,17.832567501929,10000,0.495342,0.86364,0.997653,102.040447239308,10000.0000405231,20.0000136390422,1.00000000405231,205.999990394015,22.9999231613197,0.852000039573309,23.5665295716194,0,-27896.5154443484,0,-27896.5154443484,17.9549845027864,27.1295558005875,27.1295558005875,10000.0001799182,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-2.33336509490611e-10,-1.3113620957559e-10,-2.39554352862046e-11,10665.7208362932,3,10000,10000.0000439807,10000.0001799182,1.01258940689339,45.61102,0.444192,0.51163,0.998914,13.4754526576183,13.4754526576183,4104.99203860243,90.0000052312452,30.3369998995601,5.00000268850718,0.920999998645054,27896.535089676,5.00000268850718,10000.0001799182,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999887103129,99.9999703245376,123.954269007684,518.670014460014,14.696,0,99.9999703245376,123.954269007684,518.670014460014,14.40208,0,99.9999703245376,321.12332984136,1316.1339485105,288.041796430577,0,102.999969195569,847.692512566261,3077.98505151663,273.639706609048,0.0299999976129509,102.999969195569,656.266104662064,2453.18262081271,89.8203796657286,0.0299999976129509,102.999969195569,656.266104662064,2453.18262081271,88.9221758690713,0.0299999976129509
0.06,0,17.8325777260086,10000,0.495342,0.86364,0.997653,102.040448308056,10000.0000897876,20.0000121071967,1.00000000897876,205.999992552651,22.9999213876114,0.852000032363734,23.5665298114237,0,-27896.5149231945,0,-27896.5149231945,17.9549948064928,27.1295560782545,27.1295560782545,10000.0002291828,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-2.80705027272097e-10,-1.58985122625321e-10,-2.90058091167269e-11,10665.7197020926,3,10000,10000.0000792106,10000.0002291828,1.01258920147633,45.61102,0.444192,0.51163,0.998914,13.4754525899238,13.4754525899238,4104.99239863072,90.0000131246948,30.3369997480059,5.00000278897757,0.921000007678014,27896.5310284073,5.00000278897757,10000.0002291828,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999794342008,99.9999713719139,123.954269007684,518.670014460014,14.696,0,99.9999713719139,123.954269007684,518.670014460014,14.40208,0,99.9999713719139,321.123324092807,1316.13392626764,288.041774368816,0,102.999969315334,847.692343555643,3077.98454193453,273.639685650375,0.0299999880226232,102.999969315334,656.265963742512,2453.18217765278,89.8203712706557,0.0299999880226232,102.999969315334,656.265963742512,2453.18217765278,88.9221675579492,0.0299999880226232
0.075,0,17.8325892420071,10000,0.495342,0.86364,0.997653,102.040449318595,10000.0001301747,20.000010344955,1.00000001301747,205.999994593381,22.9999193471296,0.852000025369543,23.5665300381298,0,-27896.5142212414,0,-27896.5142212414,17.9550064124069,27.1295563407551,27.1295563407551,10000.0002695698,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-3.10477328816749e-10,-1.76233727178997e-10,-3.2142098901924e-11,10665.7184038544,3,10000,10000.0001180778,10000.0002695698,1.01258897153861,45.61102,0.444192,0.51163,0.998914,13.4754525151166,13.4754525151166,4104.99279746267,90.0000218688963,30.3369995801173,5.00000290126489,0.921000017681776,27896.5264008007,5.00000290126489,10000.0002695698,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999689702204,99.9999723622456,123.954269007684,518.670014460014,14.696,0,99.9999723622456,123.954269007684,518.670014460014,14.40208,0,99.9999723622456,321.123317178863,1316.13389951553,288.04174898887,0,102.999969259268,847.692153462649,3077.98396869645,273.639661539426,0.0299999772615404,102.999969259268,656.265805300019,2453.18167933133,89.8203616626192,0.0299999772615404,102.999969259268,656.265805300019,2453.18167933133,88.922158045993,0.0299999772615404
0.09,0,17.8326011762555,10000,0.495342,0.86364,0.997653,102.040450221154,10000.0001607173,20.0000084911253,1.00000001607173,205.999996415633,22.999917200599,0.852000018964944,23.5665302405649,0,-27896.5134077207,0,-27896.5134077207,17.9550184400064,27.1295565751527,27.1295565751527,10000.0003001125,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-3.17513360254e-10,-1.80505014398232e-10,-3.29128015087171e-11,10665.7170429528,3,10000,10000.0001573388,10000.0003001125,1.01258873433473,45.61102,0.444192,0.51163,0.998914,13.4754524387144,13.4754524387144,4104.99320576003,90.0000308206224,30.3369994082442,5.00000301699072,0.92100002792079,27896.5215655292,5.00000301699072,10000.0003001125,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999581147109,99.9999732467565,123.954269007684,518.670014460014,14.696,0,99.9999732467565,123.954269007684,518.670014460014,14.40208,0,99.9999732467565,321.123309685019,1316.13387051962,288.041722289866,0,102.999969058228,847.691956675557,3077.98337520377,273.639636175373,0.0299999661406749,102.999969058228,656.265641318992,2453.18116354846,89.8203515913922,0.0299999661406749,102.999969058228,656.265641318992,2453.18116354846,88.9221480754783,0.0299999661406749
0.105,0,17.8326127930346,10000,0.495342,0.86364,0.997653,102.040450981086,10000.0001811747,20.0000066639962,1.00000001811747,205.999997949541,22.9999150849847,0.85200001342231,23.5665304109678,0,-27896.5125452759,0,-27896.5125452759,17.9550301477929,27.1295567724605,27.1295567724605,10000.0003205698,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-3.05596107244242e-10,-1.73958486852597e-10,-3.17124600693746e-11,10665.7157055342,3,10000,10000.0001943404,10000.0003205698,1.01258850432898,45.61102,0.444192,0.51163,0.998914,13.4754523652581,13.4754523652581,4104.99359908228,90.0000394440264,30.3369992426749,5.00000312911175,0.921000037782478,27896.5168263952,5.00000312911175,10000.0003205698,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.9999947538514,99.9999739914919,123.954269007684,518.670014460014,14.696,0,99.9999739914919,123.954269007684,518.670014460014,14.40208,0,99.9999739914919,321.12330212098,1316.13384125211,288.041695975407,0,102.999968745343,847.691765294676,3077.98279795987,273.639611176636,0.0299999553410548,102.999968745343,656.265481876615,2453.18066200688,89.8203416944546,0.0299999553410548,102.999968745343,656.265481876615,2453.18066200688,88.92213827751,0.0299999553410548
0.12,0,17.8326235095386,10000,0.495342,0.86364,0.997653,102.040451578039,10000.0001919104,20.0000049586237,1.00000001919104,205.999999154109,22.9999131103512,0.852000008916032,23.5665305447841,0,-27896.5116877517,0,-27896.5116877517,17.9550409483735,27.1295569274051,27.1295569274051,10000.0003313055,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-2.7885375506563e-10,-1.58946238668732e-10,-2.89697380668361e-11,10665.7144606013,3,10000,10000.0002270543,10000.0003313055,1.0125882929262,45.61102,0.444192,0.51163,0.998914,13.47545229829,13.47545229829,4104.99395831474,90.0000473200279,30.3369990914557,5.00000323208033,0.921000046787857,27896.5124260014,5.00000323208033,10000.0003313055,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999377736072,99.999974576508,123.954269007684,518.670014460014,14.696,0,99.999974576508,123.954269007684,518.670014460014,14.40208,0,99.999974576508,321.123294906636,1316.13381333766,288.041671414495,0,102.999968353869,847.691588895101,3077.98226585359,273.63958784377,0.0299999454006409,102.999968353869,656.265334945045,2453.18019978897,89.8203324823867,0.0299999454006409,102.999968353869,656.265334945045,2453.18019978897,88.9221291575628,0.0299999454006409
0.135,0,17.8326328993909,10000,0.495342,0.86364,0.997653,102.040452004429,10000.0001937617,20.0000034459424,1.00000001937617,206.000000014116,22.9999113588328,0.852000005531112,23.5665306403228,0,-27896.5108788854,0,-27896.5108788854,17.9550504120077,27.1295570380283,27.1295570380283,10000.0003331569,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,67,111,109,112,114,101,115,115,111,114,0,0,0,-2.41499340257543e-10,-1.37847519334555e-10,-2.51188696282545e-11,10665.713359419,3,10000,10000.0002540723,10000.0003331569,1.0125881084154,45.61102,0.444192,0.51163,0.998914,13.4754522403456,13.4754522403456,4104.99426972655,90.0000541475843,30.3369989603667,5.00000332186996,0.921000054592971,27896.5085438347,5.00000332186996,10000.0003331569,71,97,115,84,117,114,98,105,110,101,95,68,121,110,95,84,101,109,112,108,97,116,101,95,71,80,84,47,73,116,101,114,97,116,105,118,101,83,111,108,118,101,114,32,97,110,100,32,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,73,110,110,101,114,76,111,111,112,80,108,97,110,116,47,69,110,103,105,110,101,47,84,117,114,98,105,110,101,0,0,2.99999292097638,99.9999749943717,123.954269007684,518.670014460014,14.696,0,99.9999749943717,123.954269007684,518.670014460014,14.40208,0,99.9999749943717,321.123288365773,1316.13378802912,288.041649628738,0,102.999967915348,847.691434471344,3077.98179999138,273.639567147301,0.0299999367114364,102.999967915348,656.265206345776,2453.17979521275,89.8203243344938,0.0299999367114364,102.999967915348,656.265206345776,2453.17979521275,88.9221210911489,0.0299999367114364
