environment,altitude_m,isa_delta_C,valid_training_pool,valid_test_pool,minimum_margin_percent
1,0,0,3000,3001,21.7379547649675
2,2500,0,3000,3001,16.2104139514978
3,5000,0,3000,3001,10.0200316058876
4,7500,0,3000,3001,4.3567982506969
5,10000,0,3000,0,0.000300859602424653
6,0,-10,3000,3001,18.9249184836064
7,2500,-10,3000,3001,13.6907757489023
8,5000,-10,3000,3001,8.12995179135674
9,7500,-10,3000,3001,3.25464785493491
10,10000,-10,3000,3001,0.168541495043173
11,0,10,3000,3001,22.9904191531193
12,2500,10,3000,3001,18.5231923052979
13,5000,10,3000,3001,12.3659206034542
14,7500,10,3000,3001,6.18140194520301
15,10000,10,3000,0,7.09690089578734e-05
16,0,20,3000,3001,24.156823114347
17,2500,20,3000,3001,19.9435612449597
18,5000,20,3000,3001,14.59112413952
19,7500,20,3000,3001,8.10197997881769
20,10000,20,3000,3001,1.48300938945735
21,0,-20,3000,3001,16.2150436934637
22,2500,-20,3000,3001,11.2616826493797
23,5000,-20,3000,3001,6.10109956496174
24,7500,-20,3000,3001,3.52982035747385
25,10000,-20,3000,3001,0.338765509243704
26,0,30,3000,3001,25.3184357593972
27,2500,30,3000,3001,20.801480636513
28,5000,30,3000,3001,16.3172255137171
29,7500,30,3000,3001,9.86244739314717
30,10000,30,3000,3001,2.99108983396433
31,0,-30,3000,3001,13.9611850892703
32,2500,-30,3000,3001,9.17958195551433
33,5000,-30,3000,3001,5.83098123620257
34,7500,-30,3000,3001,3.7822198378317
35,10000,-30,3000,3001,0.434544968807107
