method,event,edge_evaluation_s,peak_error_rpm,rmse_rpm,ringing_excess_TV_lbm_s,recovery_1pct_s,recovery_point1_rpm_s
BasePI,1,10.005,21.3710484667063,4.40514519099446,0.328451799439367,0,2.41500000000001
BasePI,2,15,21.5939275664277,2.52124556220449,0.348358021650295,0,2.45999999999999
BasePI,3,30,21.3710484702569,3.11257214832635,0.328451799494043,0,2.41499999999999
BasePI,4,40.005,21.5941997417194,2.18377200994227,0.34835865882452,0,2.45999999999999
BasePI,5,60,21.3710484702588,2.5420397887298,0.328451799494298,0,2.41499999999999
BasePI,6,75,21.5941997470763,2.52128749635715,0.348358658838496,0,2.46000000000001
InvGPR_PI_GPRFF,1,10.005,13.3953145642463,3.30452913663568,0.546956225914581,0,Inf
InvGPR_PI_GPRFF,2,15,13.0011889478483,1.71277639934092,0.725356201069427,0,4.965
InvGPR_PI_GPRFF,3,30,13.3953031806559,2.33504205739355,0.54695621350894,0,5.09999999999999
InvGPR_PI_GPRFF,4,40.005,13.1016446358426,1.50083136255394,0.72532252517446,0,4.98
InvGPR_PI_GPRFF,5,60,13.3953143969957,1.90703271246836,0.546956223948705,0,5.09999999999999
InvGPR_PI_GPRFF,6,75,13.1027497983505,1.73301445361906,0.725322152844065,0,4.97999999999999
InvGPR_PI,1,10.005,13.3953145642463,3.30452913663425,0.546956225921826,0,Inf
InvGPR_PI,2,15,13.0011889479083,1.71277639935147,0.725356201077445,0,4.965
InvGPR_PI,3,30,13.395303180685,2.335042057401,0.546956213492505,0,5.09999999999999
InvGPR_PI,4,40.005,13.101644635748,1.50083136254111,0.725322525157735,0,4.98
InvGPR_PI,5,60,13.3953143971212,1.90703271248432,0.546956223944024,0,5.09999999999999
InvGPR_PI,6,75,13.1027497982959,1.73301445361346,0.725322152782278,0,4.97999999999999
