case_index,maximum_speed_difference_rpm,maximum_fuel_difference_lbm_s
1,2.43744580075145e-10,7.11297687416845e-12
2,1.33040884975344e-08,4.44103198660173e-10
3,1.85536919161677e-10,7.83328957254525e-12
4,1.8007995095104e-10,7.39563965623802e-12
5,3.12866177409887e-10,9.77795622247868e-12
6,2.74667399935424e-08,1.05851105658417e-09
7,2.47382558882236e-10,1.12005960062334e-11
8,1.01863406598568e-10,6.74127420552395e-12
9,7.54153006710112e-09,2.70641953292738e-10
10,0,4.44089209850063e-16
11,2.85581336356699e-10,1.15591980431873e-11
