Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds
0,21,1.25,0.03,1,1,4000,49,0,36,6,0,NaN,0,2.08556987385124,0.699883352774538,87.6841950781389,5,0.558101435139431,7.13625564719444,9.80128499644959,1,16.5808588612726,tune,0,1.63430730610573,2.57638296641199,Inf,35.5325226
0,21,1.75,0.03,1,1,4000,52,0,36,6,0,NaN,0,2.07274310776904,0.549908348608565,87.5344435181966,5,0.554154749571788,8.82258261848479,10.0383572551252,1,14.4459201935751,tune,0,1.81918184911517,2.51180038248116,Inf,18.63585
0,22,1,0.03,1,1,4000,55,0,36,6,0,NaN,0,2.11946184990426,0.749875020829862,83.7252505250968,5,0.589670284500019,6.6706740554482,9.22844302161057,1,17.8081680697942,tune,0,2.33599758443851,2.51754998065049,Inf,20.7407364
0,30,8,0.03,0.05,1,4000,58,0,36,6,0,NaN,0,2.078959317698,1.14980836527245,74.2109418752201,5,0.533890605557435,3.43958162784332,9.92481892025679,2,26.158785334801,tune,0,1.05868314304328,3.83271014964745,2.205,21.2321718
0,20,16,0.03,0.05,1,4000,61,0,36,6,0,NaN,0,2.00291089611076,0.749875020829862,91.8024224279171,5,0.464791294872891,6.45409968303648,11.2039258405396,2,16.9291298721309,tune,0,0.494961456486636,3.15568871380598,3.88500000000001,22.5023397
0,40,16,0.03,0.05,1,4000,64,0,36,6,0,NaN,0,2.02495731565793,0.749875020829862,45.9242198036786,5,0.481997880949299,6.53607985815308,10.8418252169704,2,16.7690161818646,tune,0,0.68612415168012,2.3229707398509,1.53,27.0484335
0,30,12,0.06,0.05,1,4000,67,0,36,6,0,NaN,0,2.0297092113744,0.949841693051158,61.6804522011399,5,0.48637086972288,4.63789525963019,10.6951004064902,2,21.1925141229895,tune,0,0.633075457648047,3.05524077884129,1.44,26.6347776
0.001,0.1,0.018,0.03,1,1,4000,70,0,36,6,0,NaN,0,2.08905736836264,0.84985835694051,36.1218831544724,5,0.54398865591716,5.34700936893975,9.815137350592,3,19.0037288293279,tune,0,1.24580926578189,2.20754559598023,1.515,27.7490463
0.001,0.15,0.025,0.03,1,1,4000,73,0,36,6,0,NaN,0,2.12635417143043,0.899850024995834,21.9890275178244,5,0.581285459409471,6.47073470767354,9.14856555473469,3,16.9114827681478,tune,0,1.65600180667493,1.63450439996695,1.11,27.3531175
0.002,0.1,0.018,0.03,1,1,4000,76,0,36,6,0,NaN,0,2.05624201385093,0.649891684719213,39.5556282205188,5,0.511173301405449,7.42708860763015,10.4073907851278,3,15.4172080536082,tune,0,1.21809570337995,2.06639575856079,1.86,24.731265
0.001,0.1,0.025,0.06,1,1,4000,79,0,36,6,0,NaN,0,2.12600809672283,0.749875020829862,27.6142309537493,5,0.580939384277352,6.06678615596232,9.13141960574174,3,18.0787124026028,tune,0,1.76481628131375,1.85591247093246,1.17,19.601588
