candidate,proportional_error,command_error,integrator_error
0,,,
1,1.815214645262131e-14,2.4424906541753444e-14,9.864662456583505e-16
2,8.271161533457416e-15,1.6944778913341452e-14,9.881418600032887e-16
3,8.992806499463768e-15,1.835337437583462e-14,9.783840404509192e-16
4,8.493206138382448e-15,1.659783421814609e-14,9.982046114166698e-16
5,8.326672684688674e-15,1.609823385706477e-14,1.0268682063517554e-15
6,8.604228440844963e-15,1.6542323066914832e-14,9.992007221626409e-16
7,7.827072323607354e-15,1.6091294963160863e-14,9.64926169226706e-16
8,9.603429163007604e-15,1.7819079545233762e-14,1.0234720277497392e-15
9,8.215650382226158e-15,1.6264767310758543e-14,1.0265700507543218e-15
10,7.771561172376096e-15,1.645211744616404e-14,9.370013987798631e-16
11,1.6819878823071122e-14,2.500777362968165e-14,1.0227149564843644e-15
12,1.5210055437364645e-14,2.2315482794965646e-14,1.013503919033324e-15
13,1.7430501486614958e-14,2.2495894036467234e-14,9.824345489227549e-16
14,1.6930901125533637e-14,2.6173507805538065e-14,1.0092794723916928e-15
15,1.5265566588595902e-14,2.220446049250313e-14,1.022746544030416e-15
16,1.687538997430238e-14,2.3002433291452462e-14,9.845096503765643e-16
17,1.6431300764452317e-14,2.2898349882893854e-14,1.1171619185290638e-15
18,1.6153745008296028e-14,2.598615767013257e-14,9.955779676239082e-16
19,1.7208456881689926e-14,2.2690183065776637e-14,9.685720107899254e-16
20,2.3037127760971998e-14,3.2241570524504937e-14,1.0178649109317515e-15
21,2.5091040356528538e-14,3.277933480205775e-14,1.0085248608460162e-15
22,2.4091839634365897e-14,3.3056890558214036e-14,1.0138445323640338e-15
23,2.1871393585115584e-14,3.0142555118573e-14,1.0045324454953882e-15
24,2.4147350785597155e-14,2.853273173286652e-14,9.987156308812032e-16
25,2.5424107263916085e-14,3.162747841400915e-14,1.0264496553496413e-15
26,2.1288526497187377e-14,2.9753977059954195e-14,1.0239747418039347e-15
27,2.4868995751603507e-14,3.1655233989624776e-14,9.910306658698995e-16
28,2.375877272697835e-14,3.2633618030075695e-14,1.0030293728492877e-15
29,8.826273045769994e-15,1.6153745008296028e-14,9.54097911787244e-16
30,8.715250743307479e-15,1.7943979635504093e-14,1.0139864746959915e-15
31,8.326672684688674e-15,1.638619795407692e-14,9.65988414717012e-16
32,8.382183835919932e-15,1.5931700403370996e-14,9.62988369601625e-16
33,6.689093723366568e-15,1.4412082638415313e-14,9.70987325239021e-16
34,1.0547118733938987e-14,1.9578956511612233e-14,9.750865799298455e-16
