segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,3.42001808251199,6.87376157036488,0.177752221666636,NaN
2,5,15,high hold,2.11796636822428,14.1426388598738,0.266235720488711,0
3,15,20,deceleration,4.18557137678165,8.62576499326133,0.230230626818856,NaN
4,20,30,low hold,1.1193478984202,10.545451430653,0.648689321652071,0
5,30,35,acceleration,6.52882266638459,9.98614861163878,0.303397462930974,NaN
6,35,45,high hold,2.54173180337757,18.2660184258948,0.35614272322789,0
7,45,50,deceleration,7.16866942622152,8.35395953858642,0.401562773634807,NaN
8,50,60,low hold,1.45469060531229,13.0130957056936,0.614602837807217,0
9,60,65,acceleration,7.4519208090443,9.11845436258409,0.266213479031416,NaN
10,65,75,high hold,2.2410855495598,17.29396249805,0.944290306171382,0
11,75,80,deceleration,7.29386941466141,8.22681724264839,0.410129360230647,NaN
12,80,90,low hold,1.43267722491541,12.8049168630241,0.373922377042498,0
13,90,95,acceleration,4.60478552008397,7.23999861974335,0.235058020087061,NaN
14,95,105,high hold,1.8465865033521,14.0730575776943,0.907300183193304,0
15,105,110,deceleration,4.1403272134869,6.85591954281881,0.26551933738582,NaN
16,110,120,low hold,1.16204912498395,10.9644734705998,0.354013971916382,0
