segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,9.65381479567147,12.2961016699683,0.0874167419023175,NaN
2,5,15,high hold,2.2532223417483,12.3137459428126,0.0228609937273179,0
3,15,20,deceleration,9.92666363057051,12.5833057748969,0.164349160306037,NaN
4,20,30,low hold,2.62068289590486,14.6016910044764,0.414559411944482,0
5,30,35,acceleration,9.80308642578062,11.8965062930183,0.141552012729094,NaN
6,35,45,high hold,3.17170143889458,17.7416201323122,0.107096348177877,0
7,45,50,deceleration,10.1390275166514,13.888450392009,0.296895272098872,NaN
8,50,60,low hold,2.56032249011734,14.3862843097304,0.358530512803301,0
9,60,65,acceleration,10.557061747635,16.5218054635152,0.339339421702282,NaN
10,65,75,high hold,3.93360492136315,23.8175921232796,0.723347194007817,0
11,75,80,deceleration,9.95717617594048,12.8422021892893,0.376671767247454,NaN
12,80,90,low hold,2.59985896460389,14.5680365465414,0.11716358521481,0
13,90,95,acceleration,9.16552278048965,11.8227814188249,0.0910799450041346,NaN
14,95,105,high hold,2.86141295848864,15.96092660867,0.725071527262828,0
15,105,110,deceleration,9.3181355921303,11.8796430226703,0.165533026768983,NaN
16,110,120,low hold,2.53101200506574,14.122236386871,0.110873209112499,0
