segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,0.845635254531353,1.52571170062947,0.0376810828349594,NaN
2,5,15,high hold,0.903978629040263,2.67013889446389,0.0399058854079222,0
3,15,20,deceleration,0.443404380568639,2.39217909933359,0.0408092010422214,NaN
4,20,30,low hold,0.518324831285439,1.76961480532555,0.156136619494919,0
5,30,35,acceleration,1.92030799861269,2.12066082300225,0.100287263216028,NaN
6,35,45,high hold,0.760105391131777,3.76031834838795,0.0557941734123486,0
7,45,50,deceleration,1.13526636559246,2.08885915875362,0.0553352000814882,NaN
8,50,60,low hold,0.469923334797671,2.7420976440153,0.16857569069457,0
9,60,65,acceleration,1.29703810343771,1.37125685719184,0.0550300147516973,NaN
10,65,75,high hold,0.517990656044949,2.97646120375975,0.180019670566478,0
11,75,80,deceleration,1.86749058076413,2.06775101502171,0.105250217336585,NaN
12,80,90,low hold,0.480912951823639,3.0352247241608,0.0628971721358855,0
13,90,95,acceleration,0.619002469504558,1.84248001415108,0.0397202697365433,NaN
14,95,105,high hold,0.436249138553973,2.12944998398962,0.169766224667208,0
15,105,110,deceleration,0.8705774528569,1.17174989131672,0.04394200408953,NaN
16,110,120,low hold,0.383669820768547,2.33185638676878,0.0585208428742408,0
