segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,2.22526797978378,2.60865565802851,0.000228700116561065,NaN
2,5,15,high hold,0.677270168711434,3.80459055449319,0,0
3,15,20,deceleration,2.22343400842689,2.51101716247285,0,NaN
4,20,30,low hold,0.649608931323414,3.73662674940533,0.120344240092531,0
5,30,35,acceleration,2.2326440860303,2.67820559271422,0.0691779142458584,NaN
6,35,45,high hold,0.70400659474843,4.01201692300856,0.00177004355585497,0
7,45,50,deceleration,2.23874565238996,2.54410574841677,0,NaN
8,50,60,low hold,0.660911461784028,3.80327448354001,0.124270364859232,0
9,60,65,acceleration,2.23320181375978,2.57907983018231,0.00377403012854716,NaN
10,65,75,high hold,0.708753983735113,4.03334915377491,0.134287470789721,0
11,75,80,deceleration,2.20519662956559,2.49381358015489,0.0562789096629253,NaN
12,80,90,low hold,0.650759965794928,3.74971266476314,0.0131949104830049,0
13,90,95,acceleration,2.22352117868064,2.51988908286512,0,NaN
14,95,105,high hold,0.703456660156897,3.96288920016559,0.131560961552593,0
15,105,110,deceleration,2.18527702628252,2.52214941255443,0,NaN
16,110,120,low hold,0.6534071255648,3.72564131637955,0.0118655556522569,0
