segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,0.730656612892981,0.842149810343471,0.0256673452096798,NaN
2,5,15,high hold,0.74309705376514,1.67408369462646,0.0155770616703483,0
3,15,20,deceleration,0.37276306218333,1.60022068143553,0.0148330887316348,NaN
4,20,30,low hold,0.559684224868853,0.670306464260648,0.0712102305166966,0
5,30,35,acceleration,1.26792308335845,1.36342677956236,0.0938014069169624,NaN
6,35,45,high hold,0.62222227858402,2.1760375889462,0.0225706371289709,0
7,45,50,deceleration,0.391232152300852,1.30684936961188,0.0233202454998378,NaN
8,50,60,low hold,0.396230597579797,1.15554180891195,0.0788966158947939,0
9,60,65,acceleration,0.500133300877693,0.586418061660879,0.0225242654466971,NaN
10,65,75,high hold,0.41188522650945,1.31784812744991,0.0843747253319123,0
11,75,80,deceleration,1.18484360927379,1.26354858259583,0.0986515249747035,NaN
12,80,90,low hold,0.394791360621315,1.7591027777089,0.0272154098250481,0
13,90,95,acceleration,0.20501301317104,1.08185675732602,0.0177209425422857,NaN
14,95,105,high hold,0.365733802602235,0.855730941186266,0.0777313766354375,0
15,105,110,deceleration,0.565458635426333,0.660879906603441,0.0237755905095431,NaN
16,110,120,low hold,0.321067384109178,1.29731498462752,0.0257400937182655,0
