segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,1.16864736747847,1.37543696187822,0.00088424850147284,NaN
2,5,15,high hold,0.339330099571814,1.89270603289879,0,0
3,15,20,deceleration,1.13292796170374,1.35151589742236,0,NaN
4,20,30,low hold,0.328457093682511,1.85959980950065,0.0544776258026149,0
5,30,35,acceleration,1.11271714563878,1.31362924956193,0.0739638886597418,NaN
6,35,45,high hold,0.348226242890373,1.98499420426924,0,0
7,45,50,deceleration,1.1257766298232,1.2852760377391,0,NaN
8,50,60,low hold,0.337495905095368,1.93450082368872,0.0579130755854993,0
9,60,65,acceleration,1.11055963899915,1.27150332412202,0,NaN
10,65,75,high hold,0.350352045127126,2.00729958974989,0.062167539745424,0
11,75,80,deceleration,1.11065036336764,1.24195621660874,0.0762363529196568,NaN
12,80,90,low hold,0.322583219035301,1.84912237808931,0.000876762122290042,0
13,90,95,acceleration,1.11275781725588,1.25862124442574,0,NaN
14,95,105,high hold,0.342933395883162,1.9621647010772,0.0599043222444942,0
15,105,110,deceleration,1.07313451920839,1.2214499461279,0.00010538356988965,NaN
16,110,120,low hold,0.32999798411304,1.87243686343027,0.00101194407278093,0
