segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,0.945376592174342,1.07337212681341,0.000704730115828944,NaN
2,5,15,high hold,0.322332539279307,1.80367494808888,0,0
3,15,20,deceleration,1.05481592730282,1.28356894289755,0,NaN
4,20,30,low hold,0.326308102219522,1.83348732870581,0.0541352630247753,0
5,30,35,acceleration,1.16126936400902,1.35786617897793,0.0740872313853016,NaN
6,35,45,high hold,0.355992332452922,2.02412898608964,0,0
7,45,50,deceleration,1.09368897727604,1.2534349703692,0,NaN
8,50,60,low hold,0.330903042139752,1.90131238476897,0.0579145522705296,0
9,60,65,acceleration,1.09836926927376,1.2773430926427,0,NaN
10,65,75,high hold,0.347540009329564,1.98392528809381,0.0619577418680322,0
11,75,80,deceleration,1.14964987873995,1.30458247907336,0.0763438909889227,NaN
12,80,90,low hold,0.320331577118171,1.82032544690082,0.000750103218071896,0
13,90,95,acceleration,1.06769873552902,1.23052240816651,0,NaN
14,95,105,high hold,0.340308276156891,1.90971412052022,0.0590224349957138,0
15,105,110,deceleration,0.994582918663139,1.11389526252242,2.01737434788463e-05,NaN
16,110,120,low hold,0.319180710686017,1.80623778530571,0.000882213334399751,0
