segment,start_s,end_s,type,rmse_rpm,peak_rpm,excess_TV_lbm_s,recovery_1pct_s
1,0,5,acceleration,1.00854840215238,1.10851240143529,0.000624619451075503,NaN
2,5,15,high hold,0.516560684199769,2.01636678967043,0,0
3,15,20,deceleration,0.58849214949085,1.24085182858653,0,NaN
4,20,30,low hold,0.369026505936338,1.37533941682159,0.0522182509375999,0
5,30,35,acceleration,1.26943291715315,1.44700020911478,0.0726234059732076,NaN
6,35,45,high hold,0.477335385554053,2.19926437773029,0,0
7,45,50,deceleration,0.838516946494859,1.06475355557814,0,NaN
8,50,60,low hold,0.341736132625759,1.63872728649585,0.0573184233473973,0
9,60,65,acceleration,0.886233103752375,1.04185521703585,0,NaN
10,65,75,high hold,0.364546007271794,1.76786020861255,0.0619388694003487,0
11,75,80,deceleration,1.22156173932077,1.40552304674566,0.0755030849085827,NaN
12,80,90,low hold,0.374899113299809,1.88563234247704,0.000389904937762697,0
13,90,95,acceleration,0.722131998039534,0.961179253401497,0,NaN
14,95,105,high hold,0.32433395345436,1.5319988220308,0.057405149084341,0
15,105,110,deceleration,0.908602311638767,1.05803197925707,0,NaN
16,110,120,low hold,0.348788176782111,1.74723197514504,0.000243004277268088,0
