block_path,block_type
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer,SubSystem
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Fuel_lbm_s,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Ndot_rpm_s,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/FlowErrors,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/SolverIterations,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/StabilityMargin,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Accept P update,Switch
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Accept theta update,Switch
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Count increment,Sum
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Enable double,DataTypeConversion
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Fault double,DataTypeConversion
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Fuel deviation,Sum
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Fuel offset state,UnitDelay
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/History vector,Mux
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Invalid prediction,Constant
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Iterations double,DataTypeConversion
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Mask invalid prediction,Switch
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Negative Y 1,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Negative Y 2,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Negative Y 3,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Negative Y 4,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Negative Y 5,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Normalize acceleration,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Normalize fuel,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/P diagonal,Selector
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/P state,UnitDelay
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/P vector,Reshape
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Phi column,Reshape
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Physical innovation,Sum
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/Physical prediction,Gain
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic,SubSystem
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/Theta,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/P,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/Phi,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/Y,Inport
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/Covariance transpose,Math
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/Denominator,Sum
GasTurbine_Dyn_Template_GPT_RLS_Blocks/RLS Acceleration Observer/RLS matrix arithmetic/Gain vector,Product
