Kp,Ki,score,ratio05,ratio10,ratio20,ratio30
0.25,5,5.02794864528603,4.99549756282655,5.00360524776595,5.03076544820925,5.08192632234237
0.5,10,2.53948867838914,2.5327764480186,2.53473023438106,2.53992953826503,2.55051849289188
1,10,Inf,2.48561750819252,Inf,Inf,Inf
1,20,Inf,1.2682018763323,Inf,Inf,Inf
2,20,1.24612138722614,1.24696412232052,1.24702888493291,1.24580658043184,1.24468596121928
2,40,0.632156274898531,0.633012064346657,0.632992813027818,0.632003476547546,0.630616745672104
4,40,0.622637675851323,0.623681646108592,0.623628489866437,0.622399459546237,0.620841107884024
4,80,Inf,30.3870010800893,Inf,Inf,Inf
8,80,Inf,Inf,Inf,Inf,Inf
8,160,Inf,Inf,Inf,Inf,Inf
16,160,Inf,Inf,Inf,Inf,Inf
16,320,Inf,Inf,Inf,Inf,Inf
0.5,40,Inf,35.8482274491306,Inf,Inf,Inf
1,40,0.638771181936018,0.64021605734654,0.640161361652012,0.638230513490489,0.636476795255032
1,80,Inf,Inf,Inf,Inf,Inf
2,80,Inf,Inf,Inf,Inf,Inf
