rpm,fraction,shape,method,Kp,Ki,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,minimum_margin_percent,outside_training_percent,trim_error_rpm,gp_replay_error,wall_seconds
9000,0.05,ramps,PI,0.025,0.05,1,0.594153474482887,5.32465497307567,18.3087097664589,1.15636470954195,0,29.4044577897449,33.3277787035494,3.63797880709171e-12,2.32636132579955e-12,41.0629983
9000,0.05,ramps,VirtualFuelFF,3,60,1,0.251226235854906,1.79024449164717,9.54807868107128,1.1487242561297,0,29.6930943492501,34.7442092984503,3.63797880709171e-12,3.06132896810141e-12,63.2889008
9000,0.1,ramps,PI,0.025,0.05,1,1.19314306603586,10.6772387029541,36.7735784380474,1.33312577576445,0,24.4289169616843,33.3277787035494,3.63797880709171e-12,2.76045852842799e-12,39.8268792
9000,0.1,ramps,VirtualFuelFF,3,60,1,0.504458043096064,3.60549350910878,19.1779534265231,1.31871619022417,0,24.9392611852692,34.3442759540077,3.63797880709171e-12,2.69451128076525e-12,56.1985903
9000,0.2,ramps,PI,0.025,0.05,1,2.54005763769883,22.5534959215092,78.1104463530229,1.7351883576249,0,14.4445271471941,33.3277787035494,3.63797880709171e-12,3.54494211762812e-12,38.5182495
9000,0.2,ramps,VirtualFuelFF,3,60,1,1.07214524506324,7.89388448664795,40.7381802009682,1.71417861520842,0,15.2006756821313,34.094317613731,3.63797880709171e-12,2.47868392477812e-12,53.7229247
9000,0.3,ramps,PI,0.025,0.05,1,3.97301930388849,35.3594557203432,121.624380422636,2.17123263436557,0,5.52567138928642,33.3277787035494,3.63797880709171e-12,2.21178630965824e-12,40.3010429
9000,0.3,ramps,VirtualFuelFF,3,60,1,1.67072252224791,12.1327028180331,63.4434004745397,2.11505267286129,0,7.03655171806478,34.0276620563239,3.63797880709171e-12,2.68984834406183e-12,53.6078618
9500,0.05,ramps,PI,0.025,0.05,1,1.01658953726134,8.90503726918905,31.5380460906969,2.14558597639284,0,21.9050747797866,0,3.63797880709171e-12,3.0311309018316e-12,75.948545
9500,0.05,ramps,VirtualFuelFF,3,60,1,0.354654765075788,2.65326657835249,13.0133775603046,2.13500447256638,0,22.1877608471801,0,3.63797880709171e-12,4.97246688269115e-12,64.8331505
9500,0.1,ramps,PI,0.025,0.05,1,2.12513600840014,18.6416214226902,65.8633099756077,2.46909561473176,0,16.6687016274096,0,3.63797880709171e-12,3.55426799103498e-12,54.4641321
9500,0.1,ramps,VirtualFuelFF,3,60,1,0.741367148039899,5.57980577109083,27.1766935472046,2.4532312852734,0,17.1434966705189,0,3.63797880709171e-12,3.99014155050281e-12,45.8573521
9500,0.2,ramps,PI,0.025,0.05,1,4.45266742097516,39.2701220463041,137.687818345279,3.15319160468163,0,7.24485720889482,0,3.63797880709171e-12,4.88364904072114e-12,67.9535638
9500,0.2,ramps,VirtualFuelFF,3,60,1,1.55167591786257,11.7167482232617,56.8112571689857,3.11596509542889,0,8.22845479516774,0,3.63797880709171e-12,3.72546438143218e-12,50.093164
9500,0.3,ramps,PI,0.025,0.05,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.7448265055009e-12,106.7686107
9500,0.3,ramps,VirtualFuelFF,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,2.08721928629529e-12,122.2042541
9500,0.2,steps,PI,0.025,0.05,1,6.42951707805486,54.0998334907035,137.688220227863,3.33346798280978,0,4.86393867394034,0,3.63797880709171e-12,3.83537646087007e-12,75.4648617
9500,0.2,steps,VirtualFuelFF,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.7448265055009e-12,94.5700905
9500,0.3,steps,PI,0.025,0.05,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.7448265055009e-12,118.0054813
9500,0.3,steps,VirtualFuelFF,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.7448265055009e-12,96.2928192
