"rpm","fraction","shape","method","ringing_excess_TV_lbm_s","max_2s_fuel_range_lbm_s"
"9000","0.05","ramps","VirtualFuel","0.36895539903337427","0.022408637754160132"
"9000","0.05","ramps","VirtualFuelFF","0.67624828508946644","0.026977009384890005"
"9000","0.05","ramps","VirtualFuelUQ","0.2579469900532072","0.029807986018409949"
"9000","0.1","ramps","VirtualFuel","0.71689906812270543","0.044157222610347935"
"9000","0.1","ramps","VirtualFuelFF","1.327608583602953","0.055273531515059871"
"9000","0.1","ramps","VirtualFuelUQ","0.50754150181505975","0.060872613602340087"
"9000","0.2","ramps","VirtualFuel","1.0895948694625111","0.092883211712019964"
"9000","0.2","ramps","VirtualFuelFF","2.6012890812080975","0.13677874448874006"
"9000","0.2","ramps","VirtualFuelUQ","0.95588372130867172","0.15228942422870007"
"9000","0.3","ramps","VirtualFuel","1.3452000150358838","0.13970238287805992"
"9000","0.3","ramps","VirtualFuelFF","3.3285161475281742","0.18382040565332014"
"9000","0.3","ramps","VirtualFuelUQ","1.2427230954621493","0.22688419915665992"
"9500","0.05","ramps","VirtualFuel","0.55078517280784345","0.040750409834030332"
"9500","0.05","ramps","VirtualFuelFF","0.88650741945606004","0.041672546291759982"
"9500","0.05","ramps","VirtualFuelUQ","0.44202892111632197","0.04918875967458991"
"9500","0.1","ramps","VirtualFuel","0.9795648595489217","0.079379374294340277"
"9500","0.1","ramps","VirtualFuelFF","1.9613631391736184","0.098066627274830065"
"9500","0.1","ramps","VirtualFuelUQ","0.89201487958187942","0.11032572897903004"
"9500","0.2","ramps","VirtualFuel","1.6287332795747576","0.1690151310534902"
"9500","0.2","ramps","VirtualFuelFF","4.12810582613562","0.22085192843609014"
"9500","0.2","ramps","VirtualFuelUQ","1.7400116026288028","0.23865905071588989"
"9500","0.3","ramps","VirtualFuel","1.9576262757007954","0.3199596609141997"
"9500","0.2","steps","VirtualFuel","61.843488701591156","2.0322786641441271"
"9500","0.2","steps","VirtualFuelUQ","13.335195166046514","1.5350956780907299"
