ratio,factor
0,1
0.01,0.999974416048464
0.02,0.99989766812102
0.03,0.999769767998157
0.04,0.999590735310674
0.05,0.999360597534659
0.06,0.999079389984462
0.07,0.998747155803661
0.08,0.998363945954034
0.09,0.997929819202528
0.1,0.997444842106237
0.11,0.996909088995402
0.12,0.996322641954418
0.13,0.995685590800877
0.14,0.994998033062641
0.15,0.994260073952957
0.16,0.993471826343624
0.17,0.992633410736224
0.18,0.991744955231413
0.19,0.990806595496309
0.2,0.98981847472996
0.21,0.988780743626928
0.22,0.987693560338983
0.23,0.986557090434937
0.24,0.985371506858619
0.25,0.984136989885013
0.26,0.982853727074579
0.27,0.981521913225757
0.28,0.980141750325688
0.29,0.978713447499162
0.3,0.977237220955811
0.31,0.975713293935564
0.32,0.974141896652391
0.33,0.972523266236347
0.34,0.970857646673937
0.35,0.969145288746833
0.36,0.967386449968951
0.37,0.965581394521922
0.38,0.963730393188967
0.39,0.961833723287218
0.4,0.95989166859848
0.41,0.957904519298493
0.42,0.955872571884691
0.43,0.953796129102493
0.44,0.951675499870153
0.45,0.949510999202198
0.46,0.947302948131472
0.47,0.945051673629816
0.48,0.942757508527416
0.49,0.940420791430843
0.5,0.938041866639814
0.51,0.935621084062703
0.52,0.933158799130824
0.53,0.930655372711536
0.54,0.928111171020168
0.55,0.925526565530829
0.56,0.922901932886101
0.57,0.920237654805671
0.58,0.917534117993916
0.59,0.914791714046489
0.6,0.91201083935591
0.61,0.909191895016232
0.62,0.906335286726777
0.63,0.903441424695002
0.64,0.900510723538505
0.65,0.897543602186229
0.66,0.894540483778869
0.67,0.891501795568536
0.68,0.888427968817705
0.69,0.885319438697478
0.7,0.88217664418519
0.71,0.879000027961415
0.72,0.875790036306368
0.73,0.872547118995781
0.74,0.86927172919624
0.75,0.865964323360065
0.76,0.862625361119723
0.77,0.859255305181839
0.78,0.855854621220824
0.79,0.852423777772162
0.8,0.848963246125382
0.81,0.84547350021675
0.82,0.841955016521732
0.83,0.838408273947228
0.84,0.83483375372365
0.85,0.831231939296847
0.86,0.827603316219922
0.87,0.823948372044987
0.88,0.820267596214863
0.89,0.816561479954778
0.9,0.812830516164099
0.91,0.80907519930811
0.92,0.805296025309889
0.93,0.801493491442311
0.94,0.797668096220208
0.95,0.793820339292709
0.96,0.789950721335816
0.97,0.786059743945226
0.98,0.782147909529435
0.99,0.778215721203163
1,0.774263682681127
1.01,0.77029229817219
1.02,0.766302072273919
1.03,0.762293509867581
1.04,0.758267116013609
1.05,0.754223395847571
1.06,0.750162854476655
1.07,0.746085996876723
1.08,0.741993327789943
1.09,0.737885351623039
1.1,0.733762572346173
1.11,0.729625493392508
1.12,0.725474617558459
1.13,0.721310446904667
1.14,0.717133482657721
1.15,0.71294422511266
1.16,0.708743173536268
1.17,0.704530826071194
1.18,0.700307679640927
1.19,0.696074229855642
1.2,0.691830970918937
1.21,0.687578395535496
1.22,0.6833169948197
1.23,0.679047258205188
1.24,0.674769673355418
1.25,0.670484726075234
1.26,0.666192900223455
1.27,0.66189467762652
1.28,0.657590537993198
1.29,0.65328095883039
1.3,0.648966415360034
1.31,0.644647380437137
1.32,0.640324324468947
1.33,0.635997715335292
1.34,0.631668018310086
1.35,0.627335695984038
1.36,0.623001208188558
1.37,0.618665011920898
1.38,0.614327561270521
1.39,0.609989307346731
1.4,0.605650698207558
1.41,0.601312178789934
1.42,0.596974190841143
1.43,0.592637172851593
1.44,0.588301559988882
1.45,0.583967784033206
1.46,0.579636273314084
1.47,0.575307452648443
1.48,0.570981743280047
1.49,0.566659562820289
1.5,0.562341325190349
1.51,0.558027440564741
1.52,0.553718315316229
1.53,0.549414351962142
1.54,0.545115949112079
1.55,0.540823501417022
1.56,0.536537399519852
1.57,0.532258030007266
1.58,0.527985775363123
1.59,0.523721013923193
1.6,0.519464119831334
1.61,0.515215462997083
1.62,0.510975409054676
1.63,0.506744319323483
1.64,0.50252255076988
1.65,0.498310455970529
1.66,0.494108383077095
1.67,0.489916675782375
1.68,0.485735673287854
1.69,0.48156571027268
1.7,0.477407116864048
1.71,0.473260218609004
1.72,0.469125336447656
1.73,0.465002786687793
1.74,0.460892880980895
1.75,0.456795926299557
1.76,0.452712224916285
1.77,0.44864207438369
1.78,0.444585767516055
1.79,0.440543592372276
1.8,0.436515832240166
1.81,0.432502765622117
1.82,0.428504666222113
1.83,0.424521802934084
1.84,0.420554439831587
1.85,0.416602836158819
1.86,0.412667246322936
1.87,0.408747919887678
1.88,0.40484510156829
1.89,0.400959031227719
1.9,0.397089943874094
1.91,0.39323806965945
1.92,0.389403633879717
1.93,0.385586856975937
1.94,0.381787954536701
1.95,0.378007137301811
1.96,0.374244611167125
1.97,0.3705005771906
1.98,0.366775231599495
1.99,0.363068765798744
2,0.359381366380463
2.01,0.355713215134588
2.02,0.352064489060633
2.03,0.348435360380541
2.04,0.344825996552623
2.05,0.341236560286565
2.06,0.337667209559486
2.07,0.334118097633043
2.08,0.330589373071544
2.09,0.327081179761079
2.1,0.323593656929628
2.11,0.320126939168156
2.12,0.316681156452647
2.13,0.313256434167093
2.14,0.309852893127391
2.15,0.306470649606154
2.16,0.303109815358405
2.17,0.299770497648138
2.18,0.296452799275739
2.19,0.293156818606234
2.2,0.289882649598354
2.21,0.286630381834405
2.22,0.283400100550909
2.23,0.280191886670019
2.24,0.277005816831665
2.25,0.273841963426436
2.26,0.27070039462917
2.27,0.267581174433227
2.28,0.264484362685436
2.29,0.2614100151217
2.3,0.258358183403229
2.31,0.255328915153389
2.32,0.252322253995156
2.33,0.24933823958914
2.34,0.246376907672177
2.35,0.24343829009646
2.36,0.240522414869195
2.37,0.237629306192762
2.38,0.234758984505365
2.39,0.231911466522151
2.4,0.229086765276777
2.41,0.226284890163418
2.42,0.22350584697918
2.43,0.220749637966914
2.44,0.218016261858413
2.45,0.215305713917966
2.46,0.212617985986252
2.47,0.209953066524569
2.48,0.207310940659361
2.49,0.204691590227046
2.5,0.202094993819108
2.51,0.199521126827451
2.52,0.196969961489992
2.53,0.194441466936473
2.54,0.191935609234482
2.55,0.189452351435659
2.56,0.186991653622079
2.57,0.184553472952789
2.58,0.182137763710478
2.59,0.179744477348286
2.6,0.177373562536704
2.61,0.175024965210579
2.62,0.172698628616183
2.63,0.170394493358359
2.64,0.168112497447696
2.65,0.16585257634775
2.66,0.163614663022268
2.67,0.161398687982425
2.68,0.15920457933404
2.69,0.157032262824767
2.7,0.154881661891248
2.71,0.152752697706207
2.72,0.150645289225477
2.73,0.148559353234947
2.74,0.146494804397409
2.75,0.144451555299301
2.76,0.142429516497329
2.77,0.140428596564953
2.78,0.13844870213873
2.79,0.136489737964495
2.8,0.13455160694338
2.81,0.132634210177645
2.82,0.130737447016313
2.83,0.128861215100617
2.84,0.127005410409211
2.85,0.125169927303172
2.86,0.123354658570761
2.87,0.12155949547193
2.88,0.119784327782585
2.89,0.118029043838579
2.9,0.11629353057942
2.91,0.114577673591711
2.92,0.11288135715228
2.93,0.111204464271017
2.94,0.1095468767334
2.95,0.10790847514269
2.96,0.106289138961817
2.97,0.104688746554909
2.98,0.103107175228498
2.99,0.101544301272359
3,0.1
3.01,0.0984741457887857
3.02,0.0969666121196882
3.03,0.0954772716166611
