s,up,down
-4,2,0.0166810053720006
-3.99,2,0.017025504900025
-3.98,2,0.0173762299632527
-3.97,2,0.0177332725466327
-3.96,2,0.0180967255478879
-3.95,2,0.0184666827770624
-3.94,2,0.018843238955824
-3.93,2,0.0192264897165168
-3.92,2,0.0196165316009586
-3.91,2,0.0200134620589794
-3.9,2,0.0204173794466953
-3.89,2,0.0208283830245132
-3.88,2,0.0212465729548616
-3.87,2,0.0216720502996424
-3.86,2,0.0221049170173995
-3.85,2,0.0225452759601982
-3.84,2,0.0229932308702122
-3.83,2,0.0234488863760118
-3.82,2,0.0239123479885495
-3.81,2,0.0243837220968383
-3.8,2,0.024863115963317
-3.79,2,0.0253506377188989
-3.78,2,0.0258463963576984
-3.77,2,0.0263505017314313
-3.76,2,0.0268630645434833
-3.75,2,0.0273841963426436
-3.74,2,0.0279140095164972
-3.73,2,0.0284526172844728
-3.72,2,0.0290001336905407
-3.71,2,0.0295566735955568
-3.7,2,0.0301223526692484
-3.69,2,0.0306972873818367
-3.68,2,0.0312815949952915
-3.67,2,0.031875393554216
-3.66,2,0.0324788018763537
-3.65,2,0.0330919395427164
-3.64,2,0.0337149268873277
-3.63,2,0.034347884986578
-3.62,2,0.0349909356481875
-3.61,2,0.0356442013997722
-3.6,2,0.0363078054770101
-3.59,2,0.0369818718114038
-3.58,2,0.037666525017634
-3.57,2,0.0383618903805027
-3.56,2,0.0390680938414609
-3.55,2,0.0397852619847175
-3.54,2,0.0405135220229264
-3.53,2,0.0412530017824481
-3.52,2,0.042003829688183
-3.51,2,0.0427661347479728
-3.5,2,0.0435400465365664
-3.49,2,0.0443256951791499
-3.48,2,0.0451232113344337
-3.47,2,0.0459327261772979
-3.46,2,0.0467543713809912
-3.45,2,0.0475882790988817
-3.44,2,0.0484345819457561
-3.43,2,0.0492934129786666
-3.42,2,0.0501649056773223
-3.41,2,0.0510491939240227
-3.4,2,0.0519464119831334
-3.39,2,0.052856694480099
-3.38,2,0.0537801763799952
-3.37,2,0.0547169929656159
-3.36,2,0.0556672798150948
-3.35,2,0.0566311727790609
-3.34,2,0.0576088079573266
-3.33,2,0.0586003216751055
-3.32,2,0.0596058504587637
-3.31,2,0.0606255310110984
-3.3,2,0.0616595001861482
-3.29,2,0.0627078949635318
-3.28,2,0.063770852422316
-3.27,2,0.0648485097144138
-3.26,2,0.0659410040375109
-3.25,2,0.0670484726075235
-3.24,2,0.0681710526305853
-3.23,2,0.0693088812745676
-3.22,2,0.0704620956401295
-3.21,2,0.0716308327313036
-3.2,2,0.0728152294256151
-3.19,2,0.0740154224437377
-3.18,2,0.0752315483186872
-3.17,2,0.0764637433645551
-3.16,2,0.0777121436447843
-3.15,2,0.0789768849399886
-3.14,2,0.0802581027153191
-3.13,2,0.0815559320873803
-3.12,2,0.0828705077906982
-3.11,2,0.084201964143744
-3.1,2,0.0855504350145161
-3.09,2,0.0869160537856856
-3.08,2,0.0882989533193063
-3.07,2,0.0896992659210962
-3.06,2,0.0911171233042919
-3.05,2,0.0925526565530829
-3.04,2,0.094005996085628
-3.03,2,0.0954772716166611
-3.02,2,0.0969666121196882
-3.01,2,0.0984741457887857
-3,2,0.1
-2.99,1.99992525,0.101544301272359
-2.98,1.999702,0.103107175228498
-2.97,1.99933175,0.104688746554909
-2.96,1.998816,0.106289138961817
-2.95,1.99815625,0.10790847514269
-2.94,1.997354,0.1095468767334
-2.93,1.99641075,0.111204464271017
-2.92,1.995328,0.11288135715228
-2.91,1.99410725,0.114577673591711
-2.9,1.99275,0.11629353057942
-2.89,1.99125775,0.118029043838579
-2.88,1.989632,0.119784327782585
-2.87,1.98787425,0.12155949547193
-2.86,1.985986,0.123354658570761
-2.85,1.98396875,0.125169927303173
-2.84,1.981824,0.127005410409211
-2.83,1.97955325,0.128861215100617
-2.82,1.977158,0.130737447016313
-2.81,1.97463975,0.132634210177645
-2.8,1.972,0.134551606943381
-2.79,1.96924025,0.136489737964495
-2.78,1.966362,0.13844870213873
-2.77,1.96336675,0.140428596564953
-2.76,1.960256,0.142429516497329
-2.75,1.95703125,0.144451555299301
-2.74,1.953694,0.146494804397409
-2.73,1.95024575,0.148559353234947
-2.72,1.946688,0.150645289225477
-2.71,1.94302225,0.152752697706207
-2.7,1.93925,0.154881661891248
-2.69,1.93537275,0.157032262824767
-2.68,1.931392,0.15920457933404
-2.67,1.92730925,0.161398687982425
-2.66,1.923126,0.163614663022268
-2.65,1.91884375,0.16585257634775
-2.64,1.914464,0.168112497447696
-2.63,1.90998825,0.170394493358359
-2.62,1.905418,0.172698628616183
-2.61,1.90075475,0.175024965210579
-2.6,1.896,0.177373562536705
-2.59,1.89115525,0.179744477348286
-2.58,1.886222,0.182137763710478
-2.57,1.88120175,0.184553472952788
-2.56,1.876096,0.186991653622079
-2.55,1.87090625,0.189452351435659
-2.54,1.865634,0.191935609234482
-2.53,1.86028075,0.194441466936473
-2.52,1.854848,0.196969961489992
-2.51,1.84933725,0.199521126827451
-2.5,1.84375,0.202094993819108
-2.49,1.83808775,0.204691590227046
-2.48,1.832352,0.207310940659361
-2.47,1.82654425,0.209953066524569
-2.46,1.820666,0.212617985986252
-2.45,1.81471875,0.215305713917966
-2.44,1.808704,0.218016261858413
-2.43,1.80262325,0.220749637966914
-2.42,1.796478,0.22350584697918
-2.41,1.79026975,0.226284890163418
-2.4,1.784,0.229086765276777
-2.39,1.77767025,0.231911466522151
-2.38,1.771282,0.234758984505365
-2.37,1.76483675,0.237629306192762
-2.36,1.758336,0.240522414869195
-2.35,1.75178125,0.243438290096461
-2.34,1.745174,0.246376907672177
-2.33,1.73851575,0.24933823958914
-2.32,1.731808,0.252322253995156
-2.31,1.72505225,0.255328915153389
-2.3,1.71825,0.258358183403229
-2.29,1.71140275,0.2614100151217
-2.28,1.704512,0.264484362685436
-2.27,1.69757925,0.267581174433227
-2.26,1.690606,0.27070039462917
-2.25,1.68359375,0.273841963426436
-2.24,1.676544,0.277005816831665
-2.23,1.66945825,0.280191886670019
-2.22,1.662338,0.28340010055091
-2.21,1.65518475,0.286630381834405
-2.2,1.648,0.289882649598354
-2.19,1.64078525,0.293156818606234
-2.18,1.633542,0.296452799275739
-2.17,1.62627175,0.299770497648138
-2.16,1.618976,0.303109815358405
-2.15,1.61165625,0.306470649606154
-2.14,1.604314,0.309852893127391
-2.13,1.59695075,0.313256434167093
-2.12,1.589568,0.316681156452647
-2.11,1.58216725,0.320126939168156
-2.1,1.57475,0.323593656929628
-2.09,1.56731775,0.327081179761079
-2.08,1.559872,0.330589373071544
-2.07,1.55241425,0.334118097633043
-2.06,1.544946,0.337667209559486
-2.05,1.53746875,0.341236560286565
-2.04,1.529984,0.344825996552623
-2.03,1.52249325,0.348435360380541
-2.02,1.514998,0.352064489060633
-2.01,1.50749975,0.355713215134588
-2,1.5,0.359381366380463
-1.99,1.49250025,0.363068765798744
-1.98,1.485002,0.366775231599495
-1.97,1.47750675,0.3705005771906
-1.96,1.470016,0.374244611167125
-1.95,1.46253125,0.378007137301811
-1.94,1.455054,0.381787954536701
-1.93,1.44758575,0.385586856975936
-1.92,1.440128,0.389403633879717
-1.91,1.43268225,0.39323806965945
-1.9,1.42525,0.397089943874094
-1.89,1.41783275,0.400959031227719
-1.88,1.410432,0.40484510156829
-1.87,1.40304925,0.408747919887678
-1.86,1.395686,0.412667246322936
-1.85,1.38834375,0.416602836158819
-1.84,1.381024,0.420554439831587
-1.83,1.37372825,0.424521802934084
-1.82,1.366458,0.428504666222113
-1.81,1.35921475,0.432502765622117
-1.8,1.352,0.436515832240166
-1.79,1.34481525,0.440543592372276
-1.78,1.337662,0.444585767516055
-1.77,1.33054175,0.44864207438369
-1.76,1.323456,0.452712224916285
-1.75,1.31640625,0.456795926299557
-1.74,1.309394,0.460892880980895
-1.73,1.30242075,0.465002786687793
-1.72,1.295488,0.469125336447657
-1.71,1.28859725,0.473260218609004
-1.7,1.28175,0.477407116864048
-1.69,1.27494775,0.48156571027268
-1.68,1.268192,0.485735673287854
-1.67,1.26148425,0.489916675782375
-1.66,1.254826,0.494108383077095
-1.65,1.24821875,0.49831045597053
-1.64,1.241664,0.50252255076988
-1.63,1.23516325,0.506744319323483
-1.62,1.228718,0.510975409054676
-1.61,1.22232975,0.515215462997083
-1.6,1.216,0.519464119831334
-1.59,1.20973025,0.523721013923193
-1.58,1.203522,0.527985775363123
-1.57,1.19737675,0.532258030007266
-1.56,1.191296,0.536537399519852
-1.55,1.18528125,0.540823501417022
-1.54,1.179334,0.545115949112079
-1.53,1.17345575,0.549414351962142
-1.52,1.167648,0.553718315316229
-1.51,1.16191225,0.558027440564741
-1.5,1.15625,0.562341325190349
-1.49,1.15066275,0.566659562820289
-1.48,1.145152,0.570981743280047
-1.47,1.13971925,0.575307452648443
-1.46,1.134366,0.579636273314084
-1.45,1.12909375,0.583967784033206
-1.44,1.123904,0.588301559988882
-1.43,1.11879825,0.592637172851593
-1.42,1.113778,0.596974190841143
-1.41,1.10884475,0.601312178789934
-1.4,1.104,0.605650698207558
-1.39,1.09924525,0.609989307346731
-1.38,1.094582,0.614327561270521
-1.37,1.09001175,0.618665011920898
-1.36,1.085536,0.623001208188558
-1.35,1.08115625,0.627335695984038
-1.34,1.076874,0.631668018310087
-1.33,1.07269075,0.635997715335292
-1.32,1.068608,0.640324324468947
-1.31,1.06462725,0.644647380437137
-1.3,1.06075,0.648966415360034
-1.29,1.05697775,0.65328095883039
-1.28,1.053312,0.657590537993198
-1.27,1.04975425,0.66189467762652
-1.26,1.046306,0.666192900223455
-1.25,1.04296875,0.670484726075234
-1.24,1.039744,0.674769673355418
-1.23,1.03663325,0.679047258205188
-1.22,1.033638,0.6833169948197
-1.21,1.03075975,0.687578395535496
-1.2,1.028,0.691830970918937
-1.19,1.02536025,0.696074229855642
-1.18,1.022842,0.700307679640927
-1.17,1.02044675,0.704530826071194
-1.16,1.018176,0.708743173536267
-1.15,1.01603125,0.71294422511266
-1.14,1.014014,0.717133482657721
-1.13,1.01212575,0.721310446904667
-1.12,1.010368,0.725474617558459
-1.11,1.00874225,0.729625493392509
-1.1,1.00725,0.733762572346173
-1.09,1.00589275,0.737885351623039
-1.08,1.004672,0.741993327789943
-1.07,1.00358925,0.746085996876723
-1.06,1.002646,0.750162854476655
-1.05,1.00184375,0.754223395847571
-1.04,1.001184,0.758267116013609
-1.03,1.00066825,0.762293509867581
-1.02,1.000298,0.766302072273919
-1.01,1.00007475,0.770292298172191
-1,1,0.774263682681127
-0.99,1,0.778215721203163
-0.98,1,0.782147909529435
-0.97,1,0.786059743945226
-0.96,1,0.789950721335816
-0.95,1,0.793820339292709
-0.94,1,0.797668096220208
-0.93,1,0.801493491442312
-0.92,1,0.805296025309889
-0.91,1,0.80907519930811
-0.9,1,0.812830516164099
-0.89,1,0.816561479954778
-0.88,1,0.820267596214863
-0.87,1,0.823948372044987
-0.86,1,0.827603316219922
-0.85,1,0.831231939296847
-0.84,1,0.83483375372365
-0.83,1,0.838408273947228
-0.82,1,0.841955016521732
-0.81,1,0.84547350021675
-0.8,1,0.848963246125382
-0.79,1,0.852423777772162
-0.78,1,0.855854621220824
-0.77,1,0.859255305181839
-0.76,1,0.862625361119723
-0.75,1,0.865964323360065
-0.74,1,0.86927172919624
-0.73,1,0.872547118995781
-0.72,1,0.875790036306368
-0.71,1,0.879000027961415
-0.7,1,0.88217664418519
-0.69,1,0.885319438697478
-0.68,1,0.888427968817706
-0.67,1,0.891501795568536
-0.66,1,0.894540483778869
-0.65,1,0.897543602186229
-0.64,1,0.900510723538505
-0.63,1,0.903441424695002
-0.62,1,0.906335286726777
-0.61,1,0.909191895016232
-0.6,1,0.91201083935591
-0.59,1,0.914791714046489
-0.58,1,0.917534117993916
-0.57,1,0.920237654805671
-0.56,1,0.922901932886101
-0.55,1,0.925526565530829
-0.54,1,0.928111171020168
-0.53,1,0.930655372711536
-0.52,1,0.933158799130824
-0.51,1,0.935621084062703
-0.5,1,0.938041866639814
-0.49,1,0.940420791430843
-0.48,1,0.942757508527416
-0.47,1,0.945051673629816
-0.46,1,0.947302948131472
-0.45,1,0.949510999202198
-0.44,1,0.951675499870153
-0.43,1,0.953796129102493
-0.42,1,0.955872571884691
-0.41,1,0.957904519298493
-0.4,1,0.95989166859848
-0.39,1,0.961833723287218
-0.38,1,0.963730393188967
-0.37,1,0.965581394521922
-0.36,1,0.967386449968951
-0.35,1,0.969145288746833
-0.34,1,0.970857646673937
-0.33,1,0.972523266236347
-0.32,1,0.974141896652391
-0.31,1,0.975713293935564
-0.3,1,0.977237220955811
-0.29,1,0.978713447499162
-0.28,1,0.980141750325688
-0.27,1,0.981521913225757
-0.26,1,0.982853727074579
-0.25,1,0.984136989885013
-0.24,1,0.985371506858619
-0.23,1,0.986557090434937
-0.22,1,0.987693560338983
-0.21,1,0.988780743626928
-0.2,1,0.98981847472996
-0.19,1,0.990806595496309
-0.18,1,0.991744955231413
-0.17,1,0.992633410736224
-0.16,1,0.993471826343624
-0.15,1,0.994260073952957
-0.14,1,0.994998033062641
-0.13,1,0.995685590800877
-0.12,1,0.996322641954418
-0.11,1,0.996909088995402
-0.1,1,0.997444842106237
