rpm,fraction,shape,method,Kp,Ki,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,minimum_margin_percent,outside_training_percent,trim_error_rpm,gp_replay_error,wall_seconds,sd_replay_error,sigma_reference,minimum_gain_factor,mean_gain_factor,maximum_sd,integral_replay_error
9000,0.05,ramps,VirtualFuelUQUp,3,60,1,0.250119905727684,1.78253717162625,9.50563668516287,1.14851157831713,0,29.6997097330389,34.8441926345609,3.63797880709171e-12,2.47157849742052e-12,80.6395338,2.99200117806486e-13,0.00117869140423888,1.00423577406343,1.00427348357902,0.00128287821808655,0
9000,0.1,ramps,VirtualFuelUQUp,3,60,1,0.502091580013809,3.58839321091546,19.0877162986762,1.31827339012658,0,24.9516300400625,34.4942509581736,3.63797880709171e-12,2.47180054202545e-12,68.8157026,3.41868026942915e-13,0.00117869140423888,1.00423577406343,1.00431620733405,0.00129959636466479,0
9000,0.2,ramps,VirtualFuelUQUp,3,60,1,1.06624706086881,7.81640425577098,40.5170859341458,1.7141481954255,0,15.2041712202602,34.1109815030828,3.63797880709171e-12,2.24686935723639e-12,70.6447259,5.09408487614493e-13,0.00117869140423888,1.00423577406343,1.00443282931097,0.00134834079583857,0
9000,0.3,ramps,VirtualFuelUQUp,3,60,1,1.65939184759285,11.9647996125314,63.0319713376173,2.11406057315652,0,7.04932727212764,34.5942342942843,3.63797880709171e-12,2.24709140184132e-12,50.7019294,3.8467991812785e-13,0.00117869140423888,1.00423577406343,1.00459683960985,0.00141469921233219,0
9500,0.05,ramps,VirtualFuelUQUp,3,60,1,0.3546203751911,2.65299039504134,13.0121345453494,2.13499586888174,0,22.1879144620416,0,3.63797880709171e-12,2.24686935723639e-12,80.4364599,4.0943637369395e-13,0.00117869140423888,1.00008977826809,1.00009020173141,0.00119446530563007,0
9500,0.1,ramps,VirtualFuelUQUp,3,60,1,0.741292381635946,5.57895609669504,27.1740117106675,2.45321752748909,0,17.1437270473849,0,3.63797880709171e-12,2.24709140184132e-12,68.583068,5.45966917508967e-13,0.00117869140423888,1.00008977826809,1.00009060151979,0.00119513151318366,0
9500,0.2,ramps,VirtualFuelUQUp,3,60,1,1.55152511154114,11.7148692364062,56.8057507973628,3.11594331169141,0,8.22877192788347,0,3.63797880709171e-12,2.47180054202545e-12,70.3893889,4.54803729399433e-13,0.00117869140423888,1.00008977826809,1.00009115279858,0.00119519589954544,0
9500,0.3,ramps,VirtualFuelUQUp,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,2.02238226165719e-12,139.7900652,9.16686431623459e-14,0.00117869140423888,1.00008977826809,1.12903749079714,0.00477050938287674,0
9500,0.2,steps,VirtualFuelUQUp,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.79745107686813e-12,123.2729934,2.15670363512555e-13,0.00117869140423888,1.00008977826809,1.17103192652197,0.00477970383780329,0
9500,0.3,steps,VirtualFuelUQUp,3,60,0,NaN,NaN,NaN,NaN,NaN,NaN,0,3.63797880709171e-12,1.79745107686813e-12,86.7737561,9.09942694110599e-14,0.00117869140423888,1.00008977826809,1.17092060929712,0.00475085959894047,0
